"","mock1","mock2","mock3","hrcc1","hrcc2","hrcc3"
"AT1G53770",17,25,32,23,13,38
"AT1G53780",41,30,75,70,29,55
"AT1G53785",5,5,19,16,5,22
"AT1G53800",51,76,112,37,21,42
"AT1G53840",257,191,425,172,159,511
"AT1G53850",81,66,148,85,69,120
"AT1G53887",22,12,2,2,9,7
"AT1G53910",166,156,140,164,81,172
"AT1G53920",32,19,34,59,47,133
"AT1G54010",4,8,33,28,14,77
"AT1G54030",74,53,161,206,73,212
"AT1G54040",50,49,147,27,8,121
"AT1G54050",22,58,10,3,22,8
"AT1G54060",90,165,172,154,57,215
"AT1G54080",228,131,458,186,208,431
"AT1G54090",19,24,47,49,38,58
"AT1G54100",315,305,377,384,165,382
"AT1G54110",17,20,34,14,10,24
"AT1G54115",26,15,27,33,17,36
"AT1G54130",119,79,85,180,111,121
"AT1G54140",15,11,24,26,11,29
"AT1G54150",17,25,60,41,32,76
"AT1G54170",73,25,76,71,53,127
"AT1G54200",4,10,22,18,11,10
"AT1G54210",19,17,19,34,25,20
"AT1G54220",44,31,95,39,11,89
"AT1G54250",31,17,10,12,3,14
"AT1G54260",22,18,16,30,11,22
"AT1G54270",169,169,442,247,159,725
"AT1G54290",64,64,94,76,33,98
"AT1G54310",5,21,20,4,13,17
"AT1G54320",122,89,346,213,93,563
"AT1G54340",33,42,37,57,17,42
"AT1G54350",61,46,223,56,27,156
"AT1G54360",91,53,211,92,50,269
"AT1G54370",32,4,66,52,12,79
"AT1G54380",19,29,24,25,9,29
"AT1G54390",42,54,34,27,18,44
"AT1G54410",61791,72237,18179,59042,26856,17406
"AT1G54440",10,11,28,19,9,20
"AT1G54460",89,68,34,147,85,121
"AT1G54490",118,32,122,84,50,209
"AT1G54500",615,753,724,364,318,415
"AT1G54510",10,11,17,17,10,23
"AT1G54520",287,326,420,296,181,344
"AT1G54570",79,82,111,87,56,154
"AT1G54575",149,167,772,404,347,913
"AT1G54580",97,168,457,123,84,265
"AT1G54610",135,135,139,128,80,153
"AT1G54630",146,174,375,182,107,490
"AT1G54690",38,18,30,24,14,24
"AT1G54710",49,40,83,95,66,137
"AT1G54740",55,36,20,35,34,27
"AT1G54770",30,22,88,77,28,83
"AT1G54780",1657,1511,5701,1151,769,2192
"AT1G54820",44,51,69,18,10,21
"AT1G54830",77,113,184,179,159,193
"AT1G54850",37,42,49,31,21,47
"AT1G54920",65,62,76,75,41,82
"AT1G54990",44,65,160,73,36,126
"AT1G55000",71,84,93,90,61,84
"AT1G55020",44,34,47,39,17,68
"AT1G55040",16,56,33,47,25,89
"AT1G55080",55,59,66,42,37,71
"AT1G55090",19,27,145,73,28,161
"AT1G55110",102,86,311,186,190,346
"AT1G55120",19,24,31,22,25,52
"AT1G55130",9,29,39,17,7,15
"AT1G55140",31,32,118,23,38,53
"AT1G55150",31,36,86,34,29,116
"AT1G55160",47,31,60,53,18,83
"AT1G55170",11,25,37,29,12,53
"AT1G55190",8,21,44,23,24,26
"AT1G55210",84,86,540,199,59,958
"AT1G55250",18,30,31,38,17,35
"AT1G55260",36,95,70,12,13,13
"AT1G55265",215,241,110,152,97,124
"AT1G55270",14,24,15,28,10,21
"AT1G55310",96,60,252,100,83,489
"AT1G55325",21,18,76,43,25,118
"AT1G55330",169,163,91,64,65,75
"AT1G55340",59,103,56,101,46,56
"AT1G55350",57,100,102,78,40,120
"AT1G55360",41,60,76,46,27,37
"AT1G55370",38,97,46,33,8,19
"AT1G55450",146,84,186,414,331,751
"AT1G55460",533,626,320,501,180,429
"AT1G55480",395,321,1484,240,154,760
"AT1G55490",195,281,442,132,63,158
"AT1G55500",54,64,94,106,35,163
"AT1G55510",13,9,20,16,5,11
"AT1G55520",52,30,53,46,22,46
"AT1G55530",45,75,106,53,57,116
"AT1G55535",16,23,24,25,13,33
"AT1G55540",20,8,53,6,26,51
"AT1G55590",27,37,105,69,50,148
"AT1G55610",16,19,11,11,14,13
"AT1G55620",25,33,44,36,26,37
"AT1G55630",15,3,7,14,10,10
"AT1G55670",13345,12255,12605,11633,11999,8980
"AT1G55675",16,18,29,23,9,12
"AT1G55680",146,117,260,222,136,303
"AT1G55690",19,12,26,23,9,46
"AT1G55730",44,11,62,60,49,106
"AT1G55750",7,23,19,19,12,22
"AT1G55760",16,57,28,38,22,25
"AT1G55805",13,13,17,8,6,13
"AT1G55810",18,27,49,31,8,42
"AT1G55820",13,37,52,38,37,123
"AT1G55830",20,19,16,30,5,24
"AT1G55840",64,104,135,142,62,168
"AT1G55850",105,131,72,71,47,45
"AT1G55860",82,66,152,136,53,186
"AT1G55870",6,12,13,11,0,22
"AT1G55890",15,19,97,45,22,75
"AT1G55900",23,18,66,14,21,79
"AT1G55910",104,65,181,98,37,118
"AT1G55920",199,147,558,306,180,705
"AT1G55930",38,23,25,30,6,21
"AT1G55960",51,63,110,63,24,63
"AT1G55970",19,12,34,16,34,59
"AT1G56010",40,16,51,43,14,48
"AT1G56045",139,151,392,202,151,385
"AT1G56050",35,15,109,33,14,60
"AT1G56060",33,27,111,72,179,173
"AT1G56070",590,594,1163,1083,540,1668
"AT1G56090",37,28,26,35,10,18
"AT1G56110",276,465,492,349,153,728
"AT1G56120",18,9,31,11,5,27
"AT1G56140",28,35,45,155,107,270
"AT1G56145",13,12,15,25,12,41
"AT1G56150",39,19,26,22,12,30
"AT1G56170",4,4,41,7,8,24
"AT1G56180",23,29,56,18,8,80
"AT1G56190",308,280,643,345,147,539
"AT1G56200",238,242,705,218,127,558
"AT1G56210",4,45,13,16,19,13
"AT1G56220",791,684,1049,560,314,749
"AT1G56230",27,31,16,18,13,10
"AT1G56280",511,487,933,634,270,704
"AT1G56290",26,26,51,47,21,56
"AT1G56300",168,135,143,181,155,184
"AT1G56330",110,90,309,180,92,368
"AT1G56340",362,279,502,625,249,864
"AT1G56390",0,44,0,12,51,1
"AT1G56420",10,10,4,6,7,1
"AT1G56423",43,20,32,51,29,34
"AT1G56440",24,11,37,11,4,32
"AT1G56450",167,148,213,185,85,287
"AT1G56460",70,39,61,93,38,80
"AT1G56500",132,102,174,127,62,140
"AT1G56510",64,85,76,66,77,162
"AT1G56520",19,7,35,30,8,33
"AT1G56550",8,8,21,26,8,42
"AT1G56560",33,51,97,57,40,77
"AT1G56580",109,106,67,78,46,74
"AT1G56590",24,14,26,24,10,31
"AT1G56610",12,4,21,13,5,14
"AT1G56650",11,14,36,12,0,15
"AT1G56660",1510,1455,531,1340,1170,1107
"AT1G56700",92,20,55,18,13,44
"AT1G57540",21,20,45,5,3,44
"AT1G57560",2,3,20,17,9,14
"AT1G57590",17,13,40,11,14,18
"AT1G57600",37,26,18,15,35,10
"AT1G57610",39,24,60,34,25,36
"AT1G57620",35,17,42,34,14,47
"AT1G57630",13,12,43,59,27,88
"AT1G57660",30,43,16,43,18,22
"AT1G57680",255,241,187,165,115,172
"AT1G57700",8,38,16,15,41,22
"AT1G57720",165,215,617,313,191,669
"AT1G57765",27,32,17,24,7,19
"AT1G57770",59,36,104,27,29,93
"AT1G57820",11,13,14,18,1,21
"AT1G57860",35,24,14,55,16,21
"AT1G57870",89,34,98,55,30,95
"AT1G57990",163,74,43,160,144,184
"AT1G58025",37,45,75,41,38,95
"AT1G58030",124,144,176,177,122,189
"AT1G58060",15,11,35,39,12,50
"AT1G58080",266,238,243,194,126,229
"AT1G58100",23,22,78,52,32,139
"AT1G58110",43,45,90,80,23,91
"AT1G58180",109,111,92,115,66,108
"AT1G58200",169,146,220,274,157,451
"AT1G58210",8,38,46,12,13,44
"AT1G58220",14,31,70,43,31,71
"AT1G58230",34,28,58,29,18,68
"AT1G58250",82,42,80,63,38,80
"AT1G58270",28,28,49,49,14,59
"AT1G58290",305,239,210,163,108,171
"AT1G58340",3,11,6,19,9,26
"AT1G58350",17,17,34,16,41,20
"AT1G58360",188,191,427,233,205,506
"AT1G58380",21,20,39,30,11,72
"AT1G58420",20,17,11,25,49,47
"AT1G58440",54,46,85,52,29,77
"AT1G58520",10,19,18,14,14,12
"AT1G58561",14,20,129,63,20,97
"AT1G58590",24,121,96,58,35,115
"AT1G58602",145,142,216,250,192,342
"AT1G59520",43,54,23,25,38,40
"AT1G59580",62,23,70,77,66,109
"AT1G59590",0,8,9,18,46,26
"AT1G59600",30,28,113,44,16,104
"AT1G59610",141,123,254,254,150,434
"AT1G59620",39,37,42,41,26,49
"AT1G59650",18,17,41,37,29,42
"AT1G59660",4,19,12,15,31,27
"AT1G59700",44,49,42,15,14,19
"AT1G59710",96,88,361,137,103,565
"AT1G59750",44,36,79,69,15,84
"AT1G59760",15,34,31,22,23,37
"AT1G59820",58,35,59,84,43,106
"AT1G59830",43,69,83,53,35,57
"AT1G59840",30,28,34,19,13,20
"AT1G59860",13,19,8,11,3,8
"AT1G59870",1634,1059,3070,4432,2255,6762
"AT1G59890",27,31,68,37,30,102
"AT1G59900",280,271,549,216,102,484
"AT1G59910",64,149,48,149,99,213
"AT1G59960",8,25,46,22,29,60
"AT1G59970",10,3,14,7,7,21
"AT1G59990",11,42,64,28,11,30
"AT1G60000",313,368,676,168,75,299
"AT1G60010",125,147,119,65,51,51
"AT1G60070",73,58,114,101,81,119
"AT1G60140",129,97,65,82,79,135
"AT1G60160",31,34,35,31,20,18
"AT1G60170",16,50,122,46,23,127
"AT1G60200",296,292,341,311,147,439
"AT1G60220",18,44,49,13,32,37
"AT1G60230",8,28,42,15,15,18
"AT1G60260",62,84,86,100,70,57
"AT1G60420",69,60,52,107,62,100
"AT1G60430",10,39,11,22,8,15
"AT1G60440",36,41,30,72,44,79
"AT1G60490",83,42,59,87,58,105
"AT1G60550",108,95,104,71,41,88
"AT1G60600",49,38,44,30,5,10
"AT1G60610",32,67,10,54,19,20
"AT1G60620",14,10,17,16,10,26
"AT1G60640",117,134,196,117,103,305
"AT1G60650",50,50,66,74,56,70
"AT1G60660",13,18,1,7,7,7
"AT1G60670",10,26,31,24,29,43
"AT1G60690",25,15,23,5,10,15
"AT1G60710",131,84,289,100,62,279
"AT1G60730",34,46,119,109,66,267
"AT1G60770",19,26,33,23,16,22
"AT1G60780",88,104,119,134,65,176
"AT1G60790",13,33,47,20,7,24
"AT1G60800",82,56,119,44,24,86
"AT1G60850",29,10,71,53,38,119
"AT1G60870",382,418,764,395,180,690
"AT1G60890",46,20,49,69,31,87
"AT1G60900",112,84,197,142,88,209
"AT1G60940",192,210,176,152,139,179
"AT1G60950",2393,3310,10143,1227,922,4744
"AT1G60989",10,15,8,8,12,7
"AT1G60990",21,42,77,19,18,54
"AT1G60995",58,92,127,73,58,187
"AT1G61010",33,41,49,35,16,60
"AT1G61030",23,17,37,16,8,35
"AT1G61040",17,44,63,58,15,82
"AT1G61100",74,60,127,91,77,163
"AT1G61120",45,33,106,290,84,548
"AT1G61140",51,226,107,97,112,148
"AT1G61150",56,32,108,100,32,115
"AT1G61170",15,11,19,6,0,6
"AT1G61190",40,36,66,36,31,57
"AT1G61210",23,14,76,44,30,118
"AT1G61215",3,66,9,15,39,3
"AT1G61240",4,12,16,14,8,9
"AT1G61250",180,123,269,356,250,602
"AT1G61255",46,56,59,59,47,103
"AT1G61260",5,44,12,30,34,42
"AT1G61300",17,17,36,16,10,15
"AT1G61350",9,46,46,18,36,28
"AT1G61360",34,21,35,163,53,239
"AT1G61380",81,64,84,227,137,302
"AT1G61420",0,1,5,25,14,26
"AT1G61430",19,11,48,17,11,38
"AT1G61520",5367,3599,11847,3187,1478,7130
"AT1G61560",9,14,16,103,69,131
"AT1G61570",33,10,31,20,18,49
"AT1G61580",63,45,72,46,28,157
"AT1G61600",24,103,30,53,22,28
"AT1G61610",7,9,17,34,14,78
"AT1G61620",42,61,57,78,38,88
"AT1G61640",14,9,34,32,17,45
"AT1G61660",85,63,167,116,120,284
"AT1G61667",3,48,18,17,51,22
"AT1G61670",55,38,105,68,32,180
"AT1G61690",25,24,66,63,22,108
"AT1G61730",98,80,151,76,48,171
"AT1G61740",203,235,355,445,239,487
"AT1G61770",66,36,76,76,40,114
"AT1G61780",45,33,25,61,42,46
"AT1G61790",129,47,177,194,145,301
"AT1G61800",12,46,47,106,70,120
"AT1G61850",24,41,91,65,43,94
"AT1G61870",12,48,102,51,32,142
"AT1G61890",186,311,180,290,221,261
"AT1G61900",37,27,48,43,23,38
"AT1G61990",14,10,15,10,15,17
"AT1G62020",45,46,98,93,46,128
"AT1G62040",61,36,54,55,52,46
"AT1G62050",10,14,14,12,5,9
"AT1G62130",9,32,7,11,11,11
"AT1G62180",147,146,96,66,63,103
"AT1G62200",12,16,37,20,9,18
"AT1G62250",65,47,98,21,15,72
"AT1G62300",111,102,257,269,274,1641
"AT1G62305",7,20,25,21,18,77
"AT1G62310",30,15,32,51,18,43
"AT1G62330",21,22,50,18,9,32
"AT1G62380",791,815,387,885,597,331
"AT1G62390",149,160,143,176,94,199
"AT1G62422",18,21,23,27,30,28
"AT1G62430",165,144,306,96,64,161
"AT1G62440",25,130,40,15,29,94
"AT1G62480",184,229,145,158,90,189
"AT1G62510",169,168,120,95,94,52
"AT1G62540",7,11,19,14,4,11
"AT1G62560",32,35,153,36,23,77
"AT1G62570",54,79,106,79,56,97
"AT1G62600",30,38,37,49,20,61
"AT1G62630",23,18,32,21,9,35
"AT1G62640",24,25,54,32,15,49
"AT1G62660",66,67,186,78,76,218
"AT1G62710",34,21,37,16,6,40
"AT1G62730",13,0,24,20,2,23
"AT1G62740",87,57,112,126,62,186
"AT1G62750",418,349,730,232,89,337
"AT1G62760",28,142,64,51,28,62
"AT1G62780",75,112,125,51,53,42
"AT1G62790",258,224,411,454,172,817
"AT1G62810",27,45,46,33,15,39
"AT1G62820",15,5,24,29,5,44
"AT1G62830",21,14,15,16,7,20
"AT1G62870",0,34,7,25,42,1
"AT1G62880",8,15,78,17,7,44
"AT1G62960",29,14,53,40,22,40
"AT1G62970",21,41,95,38,31,140
"AT1G63000",70,170,121,97,106,118
"AT1G63010",53,52,126,95,62,183
"AT1G63050",18,22,45,10,7,47
"AT1G63090",153,93,67,72,74,57
"AT1G63110",25,24,105,28,26,107
"AT1G63120",57,40,52,36,26,58
"AT1G63160",1,4,22,11,4,19
"AT1G63170",97,84,122,87,62,130
"AT1G63180",25,39,7,49,29,8
"AT1G63220",15,13,24,16,10,26
"AT1G63260",4,15,23,5,22,27
"AT1G63270",8,11,41,28,12,51
"AT1G63290",6,21,62,53,21,85
"AT1G63310",25,23,32,18,16,47
"AT1G63350",20,9,6,38,12,19
"AT1G63360",50,53,44,45,28,45
"AT1G63420",15,17,28,18,11,25
"AT1G63430",13,37,36,19,25,32
"AT1G63440",11,11,19,29,13,25
"AT1G63460",33,27,39,59,24,65
"AT1G63480",4,27,21,15,10,45
"AT1G63490",8,23,21,16,19,43
"AT1G63500",91,36,76,106,63,164
"AT1G63530",7,0,12,13,11,48
"AT1G63610",31,54,134,38,26,79
"AT1G63640",13,16,18,11,5,19
"AT1G63660",19,24,98,39,13,89
"AT1G63670",30,32,21,31,11,20
"AT1G63680",56,76,68,47,34,44
"AT1G63690",139,135,110,55,75,98
"AT1G63700",43,25,66,41,15,125
"AT1G63720",19,19,26,46,71,70
"AT1G63740",5,8,16,14,20,23
"AT1G63750",25,7,13,62,44,59
"AT1G63770",359,235,564,341,205,605
"AT1G63780",23,27,39,40,22,65
"AT1G63800",172,138,54,56,33,45
"AT1G63810",26,64,82,21,21,70
"AT1G63830",98,105,145,143,77,249
"AT1G63840",133,193,488,440,324,956
"AT1G63850",20,18,26,23,10,27
"AT1G63860",9,12,25,38,25,92
"AT1G63880",60,30,151,101,47,145
"AT1G63900",45,33,54,42,32,81
"AT1G63940",42,40,119,73,35,165
"AT1G63970",97,116,172,123,55,165
"AT1G63980",55,111,39,112,51,54
"AT1G64040",92,61,77,114,113,164
"AT1G64050",29,38,120,29,34,138
"AT1G64060",46,213,62,78,86,84
"AT1G64065",25,27,25,39,25,44
"AT1G64090",67,68,98,105,64,107
"AT1G64105",25,14,25,47,12,85
"AT1G64150",32,35,50,9,6,27
"AT1G64170",9,13,42,164,81,440
"AT1G64180",15,19,21,16,0,21
"AT1G64190",122,115,106,136,55,138
"AT1G64200",48,31,136,103,65,253
"AT1G64230",502,358,471,440,179,488
"AT1G64280",41,37,107,99,61,156
"AT1G64330",148,204,93,212,79,135
"AT1G64350",20,27,66,39,23,88
"AT1G64355",70,45,57,42,19,30
"AT1G64360",14,17,36,50,8,41
"AT1G64370",423,570,415,469,225,388
"AT1G64380",103,127,205,117,111,240
"AT1G64385",46,44,32,33,18,40
"AT1G64390",24,80,164,31,32,67
"AT1G64400",27,53,64,212,155,300
"AT1G64430",49,34,129,49,17,82
"AT1G64450",14,14,23,7,8,19
"AT1G64460",9,19,27,13,3,24
"AT1G64500",54,78,39,38,5,35
"AT1G64510",339,330,554,177,110,267
"AT1G64520",122,107,178,115,38,231
"AT1G64530",15,7,10,6,13,22
"AT1G64550",60,88,117,84,37,134
"AT1G64560",13,2,22,7,11,18
"AT1G64570",36,36,67,32,17,88
"AT1G64572",35,31,12,20,22,10
"AT1G64600",8,32,25,16,15,50
"AT1G64610",31,12,19,42,25,52
"AT1G64620",16,5,49,15,24,51
"AT1G64640",36,17,139,3,13,30
"AT1G64650",96,103,249,152,66,262
"AT1G64660",16,10,19,10,12,41
"AT1G64670",28,32,79,8,8,26
"AT1G64680",289,245,718,156,58,399
"AT1G64700",10,10,6,11,4,17
"AT1G64710",35,32,67,39,11,74
"AT1G64720",4368,4162,2510,2012,725,1484
"AT1G64740",134,134,342,124,84,386
"AT1G64750",122,138,99,172,45,135
"AT1G64770",238,243,245,145,57,80
"AT1G64790",59,51,123,70,48,165
"AT1G64810",53,40,84,58,30,79
"AT1G64840",21,16,28,37,8,22
"AT1G64850",77,104,104,78,28,70
"AT1G64860",260,250,197,145,104,119
"AT1G64880",73,46,174,107,45,189
"AT1G64890",21,34,115,39,11,131
"AT1G64900",246,340,779,231,119,609
"AT1G64950",133,194,151,131,83,121
"AT1G64960",17,31,33,40,20,30
"AT1G64970",39,47,38,19,13,8
"AT1G64980",49,28,114,46,45,103
"AT1G64990",23,40,56,36,19,67
"AT1G65010",34,68,88,47,20,48
"AT1G65020",34,16,32,38,16,42
"AT1G65030",37,59,141,91,107,218
"AT1G65040",42,42,92,90,76,131
"AT1G65070",27,33,77,17,5,34
"AT1G65080",26,40,50,34,28,65
"AT1G65190",82,122,114,93,50,87
"AT1G65220",47,67,53,111,64,75
"AT1G65230",304,347,654,182,122,245
"AT1G65240",0,4,25,21,16,42
"AT1G65260",513,320,3193,807,524,2205
"AT1G65270",130,232,483,183,188,580
"AT1G65280",127,144,184,170,86,190
"AT1G65290",162,164,486,193,208,509
"AT1G65295",16,39,10,9,8,7
"AT1G65320",14,33,54,17,18,33
"AT1G65370",11,18,130,17,13,135
"AT1G65380",2,10,24,6,9,13
"AT1G65390",12,22,15,185,130,143
"AT1G65410",36,21,55,41,22,39
"AT1G65430",20,17,55,44,32,67
"AT1G65440",483,523,643,478,218,831
"AT1G65470",11,31,7,9,35,14
"AT1G65486",9,2,7,40,33,88
"AT1G65490",36,29,38,38,34,52
"AT1G65500",20,23,34,202,103,650
"AT1G65520",56,73,64,99,71,169
"AT1G65540",75,89,117,111,69,162
"AT1G65580",143,95,160,204,81,245
"AT1G65590",65,35,60,27,3,28
"AT1G65610",44,23,87,67,62,236
"AT1G65650",32,26,29,54,25,55
"AT1G65660",132,119,125,139,35,132
"AT1G65690",21,0,15,115,48,145
"AT1G65700",17,27,88,25,11,81
"AT1G65720",1389,1188,2257,2541,2063,3502
"AT1G65730",16,62,38,96,152,203
"AT1G65790",16,5,17,25,14,19
"AT1G65800",167,139,289,186,86,249
"AT1G65820",182,118,209,392,141,326
"AT1G65840",10,57,70,87,59,132
"AT1G65845",167,110,363,1094,1859,4067
"AT1G65860",28,45,79,35,20,57
"AT1G65920",10,8,25,0,9,9
"AT1G65930",476,474,672,874,585,931
"AT1G65950",10,16,21,10,5,30
"AT1G65960",1241,1250,617,1010,385,478
"AT1G65980",274,274,368,385,254,501
"AT1G66070",40,53,54,58,37,48
"AT1G66080",9,43,13,27,36,12
"AT1G66090",49,50,95,115,102,203
"AT1G66100",369,220,928,351,134,907
"AT1G66130",74,33,123,31,19,66
"AT1G66140",48,41,109,47,56,92
"AT1G66150",128,94,111,83,64,75
"AT1G66160",65,67,34,149,64,143
"AT1G66180",64,81,69,54,28,83
"AT1G66190",32,39,20,12,10,16
"AT1G66200",396,278,608,477,191,577
"AT1G66230",16,19,10,38,26,27
"AT1G66240",294,210,266,400,143,284
"AT1G66250",10,11,26,8,10,14
"AT1G66260",266,221,230,303,159,355
"AT1G66330",89,73,36,37,9,44
"AT1G66340",55,36,92,45,25,111
"AT1G66345",19,20,12,8,9,20
"AT1G66410",213,257,134,296,130,230
"AT1G66430",24,52,76,31,14,56
"AT1G66460",0,4,7,13,16,33
"AT1G66480",14,22,11,28,25,27
"AT1G66500",20,26,20,15,29,34
"AT1G66520",12,10,10,15,1,9
"AT1G66530",19,23,74,26,26,68
"AT1G66570",10,7,8,19,15,29
"AT1G66580",380,316,458,658,439,693
"AT1G66660",10,8,28,3,0,28
"AT1G66670",306,381,835,332,328,536
"AT1G66680",13,17,26,14,28,41
"AT1G66725",14,2,17,19,23,7
"AT1G66730",15,16,13,21,13,12
"AT1G66740",9,47,15,16,16,11
"AT1G66750",15,8,18,18,11,12
"AT1G66760",41,53,15,53,66,36
"AT1G66820",58,56,88,40,56,46
"AT1G66840",40,55,48,39,6,38
"AT1G66880",206,93,263,440,195,828
"AT1G66890",27,25,92,19,9,47
"AT1G66900",64,32,42,49,25,69
"AT1G66910",15,13,62,25,9,65
"AT1G66920",43,38,79,151,71,237
"AT1G66940",16,18,26,31,26,48
"AT1G66970",498,265,974,368,185,713
"AT1G66980",92,107,208,113,71,171
"AT1G67050",30,19,20,12,11,7
"AT1G67060",17,5,26,47,17,34
"AT1G67080",41,30,36,40,41,22
"AT1G67090",12884,12953,18399,7219,4512,9992
"AT1G67120",28,105,88,76,64,125
"AT1G67140",28,37,58,25,30,69
"AT1G67170",28,40,40,37,37,27
"AT1G67190",18,88,32,30,50,25
"AT1G67195",174,170,119,418,211,344
"AT1G67210",13,11,17,5,12,20
"AT1G67230",140,177,211,176,121,283
"AT1G67250",57,60,88,47,76,91
"AT1G67280",539,456,1539,490,197,1133
"AT1G67300",52,61,109,55,25,84
"AT1G67310",55,45,51,52,9,77
"AT1G67325",89,31,119,105,58,182
"AT1G67350",128,164,231,180,137,199
"AT1G67360",61,29,52,32,34,61
"AT1G67410",5,18,26,16,4,10
"AT1G67430",150,221,359,258,163,480
"AT1G67440",114,113,491,161,72,251
"AT1G67470",5,25,15,45,17,32
"AT1G67480",79,58,139,108,82,199
"AT1G67490",35,22,49,31,31,68
"AT1G67500",2,21,30,8,17,48
"AT1G67510",52,50,80,73,34,96
"AT1G67530",66,24,75,42,31,117
"AT1G67550",46,50,89,91,38,83
"AT1G67560",62,43,147,60,54,242
"AT1G67570",0,50,8,18,20,6
"AT1G67580",42,51,51,49,21,70
"AT1G67590",83,240,57,68,27,15
"AT1G67620",20,20,54,16,45,67
"AT1G67660",41,55,162,45,21,91
"AT1G67680",75,73,163,80,70,191
"AT1G67700",300,318,626,224,98,327
"AT1G67720",21,26,61,26,10,50
"AT1G67730",120,144,153,143,110,127
"AT1G67740",5099,6592,5439,2712,1607,4070
"AT1G67750",11,16,7,7,15,1
"AT1G67770",2,22,0,17,8,2
"AT1G67785",123,166,206,141,105,177
"AT1G67800",49,39,84,79,24,147
"AT1G67810",41,32,23,74,31,42
"AT1G67830",10,22,39,10,4,23
"AT1G67840",168,176,416,111,130,219
"AT1G67850",33,9,55,63,25,134
"AT1G67860",555,496,123,616,218,273
"AT1G67865",1194,2012,2248,1373,777,3849
"AT1G67870",904,919,2850,943,372,4251
"AT1G67880",11,2,13,19,11,21
"AT1G67890",30,30,29,24,37,36
"AT1G67900",66,46,54,54,24,47
"AT1G67920",17,13,8,35,73,38
"AT1G67930",81,100,185,88,87,250
"AT1G67940",13,17,11,19,5,17
"AT1G67950",30,12,19,26,20,21
"AT1G67960",15,32,63,32,17,97
"AT1G67970",135,81,104,123,37,107
"AT1G67980",18,6,3,28,15,15
"AT1G68000",51,58,91,97,64,132
"AT1G68010",655,692,925,305,196,304
"AT1G68020",43,12,28,32,17,23
"AT1G68050",150,149,297,185,59,253
"AT1G68060",63,70,53,82,35,34
"AT1G68070",37,39,52,21,14,90
"AT1G68080",24,6,17,12,9,26
"AT1G68100",39,25,50,59,22,67
"AT1G68130",15,28,37,12,8,29
"AT1G68140",73,70,120,134,62,188
"AT1G68160",24,14,7,18,5,8
"AT1G68190",40,67,58,35,13,8
"AT1G68220",43,30,41,9,3,23
"AT1G68260",23,17,26,18,20,14
"AT1G68290",56,76,132,46,33,116
"AT1G68300",47,35,104,68,28,134
"AT1G68310",19,14,26,32,24,27
"AT1G68340",16,15,19,22,28,26
"AT1G68370",62,77,115,109,32,124
"AT1G68390",4,17,6,16,45,28
"AT1G68400",27,9,19,13,14,24
"AT1G68410",55,34,53,43,32,56
"AT1G68440",45,47,18,57,41,43
"AT1G68490",135,213,143,129,112,125
"AT1G68500",44,25,25,28,19,42
"AT1G68520",1134,876,600,701,287,862
"AT1G68530",987,901,1108,835,380,887
"AT1G68540",13,24,14,6,7,11
"AT1G68560",604,555,959,331,146,459
"AT1G68570",42,60,122,22,33,69
"AT1G68580",33,19,34,43,12,40
"AT1G68585",37,31,27,15,9,6
"AT1G68590",1063,1295,2280,817,623,1250
"AT1G68600",42,52,109,95,14,32
"AT1G68620",7,5,7,56,36,96
"AT1G68650",20,9,30,12,5,36
"AT1G68660",205,168,524,143,105,310
"AT1G68670",79,31,27,82,59,76
"AT1G68680",22,5,18,18,9,25
"AT1G68690",47,108,55,134,108,259
"AT1G68710",21,10,25,18,9,22
"AT1G68720",104,128,127,116,54,171
"AT1G68725",12,18,44,7,12,31
"AT1G68730",17,8,74,37,26,79
"AT1G68760",22,4,35,5,7,44
"AT1G68790",94,164,91,127,33,108
"AT1G68795",6,20,11,16,28,10
"AT1G68820",49,24,22,26,23,37
"AT1G68830",278,190,250,152,114,225
"AT1G68840",80,39,23,122,86,140
"AT1G68870",16,12,5,3,33,5
"AT1G68890",50,47,131,27,13,73
"AT1G68910",33,50,38,46,22,31
"AT1G68920",20,10,34,26,20,41
"AT1G68945",40,57,127,31,32,90
"AT1G68980",18,18,60,21,11,51
"AT1G68990",19,25,83,53,19,107
"AT1G69010",33,19,38,31,21,39
"AT1G69030",40,31,37,67,43,63
"AT1G69040",28,13,64,22,7,35
"AT1G69060",12,27,42,17,34,49
"AT1G69070",52,75,77,81,92,117
"AT1G69140",1103,1458,1404,338,70,242
"AT1G69160",21,25,19,8,22,13
"AT1G69200",33,32,53,15,4,34
"AT1G69220",28,22,86,67,36,113
"AT1G69250",48,124,105,75,74,179
"AT1G69252",28,20,30,24,15,14
"AT1G69260",9,14,6,13,18,19
"AT1G69270",25,19,17,32,17,27
"AT1G69280",11,19,5,16,14,5
"AT1G69295",158,159,383,104,97,421
"AT1G69310",15,34,44,63,42,87
"AT1G69330",37,44,42,23,7,45
"AT1G69340",40,26,75,66,54,68
"AT1G69360",26,31,39,44,33,74
"AT1G69370",19,17,25,41,22,57
"AT1G69390",124,74,199,127,66,228
"AT1G69410",242,324,171,514,536,467
"AT1G69420",17,17,33,35,16,24
"AT1G69440",31,70,107,45,42,70
"AT1G69450",41,55,105,90,98,173
"AT1G69460",114,100,115,99,110,105
"AT1G69480",5,18,14,18,14,30
"AT1G69490",68,31,11,50,16,22
"AT1G69510",102,103,112,125,76,91
"AT1G69520",12,6,7,30,23,34
